,title,url
225,FinCap Friday: How to Get Extra Credit,https://create.kahoot.it/details/306ac060-4d7b-4d86-9e84-afe9a021bb41
226,FinCap Friday: Peer-to-Peer Apps Go Head-to-Head ,https://create.kahoot.it/details/a965e475-bd5c-4c80-80b2-c5dcc072d390
227,FinCap Friday: Early Payday,https://create.kahoot.it/details/398a0a9a-4127-4d74-b7fc-595f239352f0
228,FinCap Friday: Protection or Deception?,https://create.kahoot.it/details/c2550d42-7802-49a2-a057-41615a2b04c1
229,FinCap Friday: The $1 Billion Merger,https://create.kahoot.it/details/2db7165f-3ce4-40a9-8f06-321ddc96f88d
230,FinCap Friday: The $10 Million Deposit,https://create.kahoot.it/details/5dc4375d-dbb6-4ea8-aa67-687c2f034afb
231,FinCap Friday: Getting Paid or Getting Played?,https://create.kahoot.it/details/9b61503f-9441-4762-8f95-72dbf778ce0b
232,FinCap Friday: Banned From Banks,https://create.kahoot.it/details/7488bb7d-9a3a-4889-b797-eca545311224
233,FinCap Friday: That's Gross!,https://create.kahoot.it/details/0099672c-8a8d-4950-82c0-83585f4c3bcd
234,FinCap Friday: Stacking Unused Gift Cards,https://create.kahoot.it/details/1d9ac255-a0ff-483a-a139-7ef845c300cf
235,FinCap Friday: Google Makes Bank,https://create.kahoot.it/details/7443e06c-54ff-499e-97aa-61219f9f7096
236,FinCap Friday: Pandemic Savings Boost,https://create.kahoot.it/details/599d6250-7fcc-4fcf-b0ea-091facffffe6
237,FinCap Friday: Playing with F.I.R.E.,https://create.kahoot.it/details/ec67852b-1e6a-4fb6-8562-8fdbd2f15e58
238,FinCap Friday: Your Stimulus Package Has Arrived,https://create.kahoot.it/details/e4bd812d-38c9-4fc9-938a-d30dc1cc8f04
239,FinCap Friday: Pay the Price,https://create.kahoot.it/details/5e4f0bbd-7b43-48c0-8e7f-55644e5e9368
240,FinCap Friday: Beyond the Curve [Frugality],https://create.kahoot.it/details/38482562-5c5c-4640-8e29-24ef64a2a2b9
241,FinCap Friday: Bye Bye Banks?,https://create.kahoot.it/details/d6e2a4c8-84c2-4f65-bce2-886b1545f414
242,FinCap Friday: Do We Have Your Interest Yet?,https://create.kahoot.it/details/c875372c-99d4-4793-9464-78a50bb2d1c1
243,FinCap Friday: Pay Day But No Paycheck,https://create.kahoot.it/details/3f7fbf8b-728b-49fa-8a7e-1ea81d4e71a4
244,FinCap Friday: Until the Game Stops,https://create.kahoot.it/details/843d5965-b66d-4c53-80bf-ff8376aaa611
245,FinCap Friday: The Rise of NFTs,https://create.kahoot.it/details/511cc79f-00c4-4402-9f85-3e8435d114fd
246,FinCap Friday: Bitcoin Bonanza,https://create.kahoot.it/details/763138d7-5ba4-473c-9fea-28d34205c97c
